"ID","Site","Subsite","Date","Transect_Type","Transect_Number","max_dep","min_dep","avg_dep","ver_rel_m","DRR"
"AR-364_BARGE_2016-03-09_R_T3","364","BARGE","2016-03-09","Radiating",3,13.1182,12.8849,13.0130159292035,0.2333,0.0437908514711279
"AR-364_BARGE_2016-03-09_S","364","BARGE","2016-03-09","Structural",0,15.7075,14.6454,15.333622875817,1.0621,0.248176371785728
"AR-364_DOMES_2015-09-21_S","364","DOMES","2015-09-21","Structural",0,13.85085687,12.60241767,13.2956093066096,1.2484392,0.17829263001622
"AR-364_DOMES_2015-12-10_R_T1","364","DOMES","2015-12-10","Radiating",1,12.7094,12.0484,12.3582570652174,0.661,0.116865421428951
"AR-364_DOMES_2015-12-10_R_T2","364","DOMES","2015-12-10","Radiating",2,12.6002402,12.06356173,12.3402726416757,0.53667847,0.105606838146117
"AR-364_DOMES_2015-12-10_R_T3","364","DOMES","2015-12-10","Radiating",3,12.8034,12.112,12.5255404145078,0.6914,0.114950532040935
"AR-364_DOMES_2015-12-10_S","364","DOMES","2015-12-10","Structural",0,13.00150722,11.96230934,12.4725519615686,1.03919788,0.165831138448415
"AR-364_PIPES_2015-12-10_R_T1","364","PIPES","2015-12-10","Radiating",1,13.5103,12.8981,13.2687598360656,0.612200000000001,0.120394910561988
"AR-364_PIPES_2015-12-10_R_T2","364","PIPES","2015-12-10","Radiating",2,13.9618,13.1254,13.4636916167665,0.836399999999999,0.145413516885995
"AR-364_PIPES_2015-12-10_R_T3","364","PIPES","2015-12-10","Radiating",3,13.61330843,13.22544647,13.4212224980328,0.38786196,0.0832825851276884
"AR-364_PIPES_2015-12-10_S","364","PIPES","2015-12-10","Structural",0,13.66713278,12.79723325,13.246539461227,0.86989953,0.179253958885389
"AR-364_PODS_2015-09-21_S","364","PODS","2015-09-21","Structural",0,13.9084918,12.7148296,13.4214121877003,1.1936622,0.319720185561996
"AR-364_PODS_2015-12-10_S","364","PODS","2015-12-10","Structural",0,13.54090753,12.34676901,13.0513064871341,1.19413852,0.266423214469071
"AR-364_TUGBOAT_2015-09-21_S","364","TUGBOAT","2015-09-21","Structural",0,16.36345388,14.95326944,15.8349411205325,1.41018444,0.321099440440929
"AR-364_TUGBOAT_2015-12-10_R_T1","364","TUGBOAT","2015-12-10","Radiating",1,13.6406629,13.1861159,13.4031899436134,0.454547,0.109126093924943
"AR-364_TUGBOAT_2015-12-10_R_T2","364","TUGBOAT","2015-12-10","Radiating",2,13.52852316,13.16488556,13.3500134149074,0.363637600000001,0.0732082677333498
"AR-364_TUGBOAT_2015-12-10_R_T3","364","TUGBOAT","2015-12-10","Radiating",3,13.59207809,12.94958815,13.3273809856557,0.642489939999999,0.102398675860021
"AR-364_TUGBOAT_2015-12-10_S","364","TUGBOAT","2015-12-10","Structural",0,13.88943893,11.05709396,12.0804390249801,2.83234497,0.591726301605787
"AR-364_TUGBOAT_2016-03-09_R_T1","364","TUGBOAT","2016-03-09","Radiating",1,12.8678,12.4805,12.6615712871287,0.387300000000002,0.0854893342313925
"AR-364_TUGBOAT_2016-03-09_R_T2","364","TUGBOAT","2016-03-09","Radiating",2,12.8044,12.2939,12.6094406779661,0.510499999999999,0.101326094745922
"AR-364_TUGBOAT_2016-03-09_R_T3","364","TUGBOAT","2016-03-09","Radiating",3,12.7164,12.4805,12.6214745098039,0.235900000000001,0.0490355694021086
"AR-364_TUGBOAT_2016-03-09_S","364","TUGBOAT","2016-03-09","Structural",0,13.4878,10.9773,12.5270680722892,2.5105,0.765565520346979
"AR-370_BARGE_2015-09-09_R_T1","370","BARGE","2015-09-09","Radiating",1,14.8864,14.6011,14.7710954887218,0.285299999999999,0.0599622518436461
"AR-370_BARGE_2015-09-09_R_T2","370","BARGE","2015-09-09","Radiating",2,15.1079,14.5768,14.8335567251462,0.5311,0.110474795628742
"AR-370_BARGE_2015-09-09_R_T3","370","BARGE","2015-09-09","Radiating",3,14.8833,14.6132,14.7375229813665,0.270099999999999,0.0593207312501785
"AR-370_LIBERTYSHIP_2015-09-03_R_T3","370","LIBERTYSHIP","2015-09-03","Radiating",3,15.1595,14.9623,15.0620752136752,0.197199999999999,0.0438800773778571
"AR-370_LIBERTYSHIP_2015-09-03_S","370","LIBERTYSHIP","2015-09-03","Structural",0,15.4367,12.2115,14.5343378486056,3.2252,0.590599544769341
"AR-370_LIBERTYSHIP_2015-12-09_R_T1","370","LIBERTYSHIP","2015-12-09","Radiating",1,15.2417,14.6,15.0182905982906,0.6417,0.118502696741398
"AR-370_LIBERTYSHIP_2015-12-09_R_T2","370","LIBERTYSHIP","2015-12-09","Radiating",2,15.1328,14.7635,14.9382893939394,0.369299999999999,0.0839388029146496
"AR-370_LIBERTYSHIP_2015-12-09_R_T3","370","LIBERTYSHIP","2015-12-09","Radiating",3,15.09643813,14.6938102,14.894798596748,0.40262793,0.0787405447224551
"AR-370_LIBERTYSHIP_2015-12-09_S","370","LIBERTYSHIP","2015-12-09","Structural",0,14.92258071,6.849948455,9.10643505758242,8.072632255,2.75596148831313
"AR-370_LIBERTYSHIP_2016-03-10_R_T1","370","LIBERTYSHIP","2016-03-10","Radiating",1,14.4517,14.0006,14.2036020618557,0.4511,0.0919504871060388
"AR-370_LIBERTYSHIP_2016-03-10_R_T2","370","LIBERTYSHIP","2016-03-10","Radiating",2,14.3911,14.0006,14.1922691588785,0.390499999999999,0.0843652217659946
"AR-370_LIBERTYSHIP_2016-03-10_R_T3","370","LIBERTYSHIP","2016-03-10","Radiating",3,14.2519,13.8462,14.0004824,0.4057,0.0903894763215133
"AR-370_LIBERTYSHIP_2016-03-10_S","370","LIBERTYSHIP","2016-03-10","Structural",0,14.02893314,6.01448018,8.32719020537566,8.01445296,2.38825310647472
"AR-370_NR1_2015-09-09_R_T1","370","NR1","2015-09-09","Radiating",1,14.5464,14.1852,14.3907056603774,0.3612,0.0804834083229209
"AR-370_NR1_2015-09-09_R_T2","370","NR1","2015-09-09","Radiating",2,14.595,14.3005,14.4416769911504,0.294500000000001,0.0680058453486189
"AR-370_NR1_2015-09-09_R_T3","370","NR1","2015-09-09","Radiating",3,14.5221,14.2489,14.3981097560976,0.273199999999999,0.0640104953159695
"AR-370_NR1_2015-12-08_R_T1","370","NR1","2015-12-08","Radiating",1,15.7072,15.0626,15.4099706349206,0.644600000000001,0.143625373840397
"AR-370_NR1_2015-12-08_R_T2","370","NR1","2015-12-08","Radiating",2,15.6709,15.3289,15.5020339130435,0.341999999999999,0.0776172411292664
"AR-370_NR1_2015-12-08_R_T3","370","NR1","2015-12-08","Radiating",3,15.5407,15.1829,15.3936705882353,0.357799999999999,0.0836744492043482
"AR-370_NR1_2015-12-08_S","370","NR1","2015-12-08","Structural",0,15.1965,14.489,14.7295822510823,0.7075,0.121950352642759
"AR-370_NR1_2016-03-10_R_T1","370","NR1","2016-03-10","Radiating",1,15.47436539,15.22021373,15.3626810323077,0.254151660000002,0.0839301764616788
"AR-370_NR1_2016-03-10_R_T2","370","NR1","2016-03-10","Radiating",2,15.4744,14.5818,15.2562086531163,0.8926,0.157551597388628
"AR-370_NR1_2016-03-10_S","370","NR1","2016-03-10","Structural",0,15.00056138,14.51151508,14.8328518895628,0.4890463,0.0845279591071249
"AR-370_NR2_2015-09-02_R_T2","370","NR2","2015-09-02","Radiating",2,15.6601,15.1201,15.4323494845361,0.539999999999999,0.0809272309521182
