OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y
153,5,1,37532.86358,8,2610561.839,293373.953,2646842.293,302988.7598
154,5,9,247199.4737,9,2610561.839,293373.953,2388731.659,184291.6388
155,5,22,247521.97,10,2610561.839,293373.953,2388710.32,183605.8815
156,5,21,247949.1792,11,2610561.839,293373.953,2388412.754,183244.1214
157,5,25,248795.5442,12,2610561.839,293373.953,2387869.067,182436.3484
158,5,24,248914.713,13,2610561.839,293373.953,2387820.893,182265.8719
159,5,11,267662.1411,14,2610561.839,293373.953,2379463.585,158330.9259
160,5,12,267713.298,15,2610561.839,293373.953,2379732.846,157770.1696
161,5,10,269929.4023,16,2610561.839,293373.953,2377532.441,157141.8639
162,5,27,271001.4099,17,2610561.839,293373.953,2376220.008,157264.914
163,5,26,271032.3443,18,2610561.839,293373.953,2376097.123,157415.0303
164,5,23,271795.1717,19,2610561.839,293373.953,2375431.213,157042.7226
165,5,13,281813.4579,20,2610561.839,293373.953,2379004.762,132749.7167
166,5,28,281813.4579,20,2610561.839,293373.953,2379004.762,132749.7167
167,5,15,282522.5569,21,2610561.839,293373.953,2378943.616,131596.3461
168,5,17,282830.3335,22,2610561.839,293373.953,2379351.32,130479.2213
169,5,14,283053.2643,23,2610561.839,293373.953,2377809.497,132297.8911
170,5,16,283716.3118,24,2610561.839,293373.953,2378096.736,130724.2625
171,5,18,324859.4925,25,2610561.839,293373.953,2345519.887,105527.0643
172,5,29,327173.3049,26,2610561.839,293373.953,2343461.743,104429.7542
173,5,19,328251.6794,27,2610561.839,293373.953,2342097.36,104493.0675
174,5,20,328653.8195,28,2610561.839,293373.953,2342131.096,103747.2949
175,6,8,1138.436498,1,2609264.738,293711.4921,2610221.152,293093.9902
176,6,5,1340.29972,2,2609264.738,293711.4921,2610561.839,293373.953
177,6,7,1643.995462,3,2609264.738,293711.4921,2609853.305,292176.4644
178,6,4,31875.41669,4,2609264.738,293711.4921,2590076.669,319164.5906
179,6,3,36256.56401,5,2609264.738,293711.4921,2644816.1,300827.6066
180,6,2,37295.97291,6,2609264.738,293711.4921,2645977.308,300282.3944
181,6,0,38418.27737,7,2609264.738,293711.4921,2646678.523,302439.1905
182,6,1,38705.81771,8,2609264.738,293711.4921,2646842.293,302988.7598
183,6,9,246185.9928,9,2609264.738,293711.4921,2388731.659,184291.6388
184,6,22,246510.6417,10,2609264.738,293711.4921,2388710.32,183605.8815
185,6,21,246938.5319,11,2609264.738,293711.4921,2388412.754,183244.1214
186,6,25,247786.6033,12,2609264.738,293711.4921,2387869.067,182436.3484
187,6,24,247906.2371,13,2609264.738,293711.4921,2387820.893,182265.8719
188,6,11,266714.2052,14,2609264.738,293711.4921,2379463.585,158330.9259
189,6,12,266767.5627,15,2609264.738,293711.4921,2379732.846,157770.1696
190,6,10,268981.6363,16,2609264.738,293711.4921,2377532.441,157141.8639
191,6,27,270050.9485,17,2609264.738,293711.4921,2376220.008,157264.914
192,6,26,270081.214,18,2609264.738,293711.4921,2376097.123,157415.0303
193,6,23,270843.9952,19,2609264.738,293711.4921,2375431.213,157042.7226
194,6,13,280941.8971,20,2609264.738,293711.4921,2379004.762,132749.7167
195,6,28,280941.8971,20,2609264.738,293711.4921,2379004.762,132749.7167
196,6,15,281654.2911,21,2609264.738,293711.4921,2378943.616,131596.3461
197,6,17,281966.2283,22,2609264.738,293711.4921,2379351.32,130479.2213
198,6,14,282180.5791,23,2609264.738,293711.4921,2377809.497,132297.8911
199,6,16,282848.8675,24,2609264.738,293711.4921,2378096.736,130724.2625
200,6,18,323998.0329,25,2609264.738,293711.4921,2345519.887,105527.0643
201,6,29,326310.9075,26,2609264.738,293711.4921,2343461.743,104429.7542
202,6,19,327386.6517,27,2609264.738,293711.4921,2342097.36,104493.0675
203,6,20,327790.7546,28,2609264.738,293711.4921,2342131.096,103747.2949
204,7,8,988.5168528,1,2609853.305,292176.4644,2610221.152,293093.9902
205,7,5,1391.40197,2,2609853.305,292176.4644,2610561.839,293373.953
206,7,6,1643.995462,3,2609853.305,292176.4644,2609264.738,293711.4921
207,7,4,33458.54536,4,2609853.305,292176.4644,2590076.669,319164.5906
208,7,3,36017.20852,5,2609853.305,292176.4644,2644816.1,300827.6066
209,7,2,37022.28709,6,2609853.305,292176.4644,2645977.308,300282.3944
210,7,0,38228.52655,7,2609853.305,292176.4644,2646678.523,302439.1905
211,7,1,38536.87793,8,2609853.305,292176.4644,2646842.293,302988.7598
212,7,9,246036.4154,9,2609853.305,292176.4644,2388731.659,184291.6388
213,7,22,246357.0396,10,2609853.305,292176.4644,2388710.32,183605.8815
214,7,21,246783.6556,11,2609853.305,292176.4644,2388412.754,183244.1214
215,7,25,247628.5424,12,2609853.305,292176.4644,2387869.067,182436.3484
216,7,24,247747.3107,13,2609853.305,292176.4644,2387820.893,182265.8719
217,7,11,266447.0883,14,2609853.305,292176.4644,2379463.585,158330.9259
218,7,12,266496.6746,15,2609853.305,292176.4644,2379732.846,157770.1696
219,7,10,268714.2106,16,2609853.305,292176.4644,2377532.441,157141.8639
220,7,27,269788.1461,17,2609853.305,292176.4644,2376220.008,157264.914
221,7,26,269819.5632,18,2609853.305,292176.4644,2376097.123,157415.0303
222,7,23,270582.4183,19,2609853.305,292176.4644,2375431.213,157042.7226
223,7,13,280549.3495,20,2609853.305,292176.4644,2379004.762,132749.7167
224,7,28,280549.3495,20,2609853.305,292176.4644,2379004.762,132749.7167
225,7,15,281256.571,21,2609853.305,292176.4644,2378943.616,131596.3461
226,7,17,281562.0062,22,2609853.305,292176.4644,2379351.32,130479.2213
227,7,14,281789.7923,23,2609853.305,292176.4644,2377809.497,132297.8911
228,7,16,282449.8547,24,2609853.305,292176.4644,2378096.736,130724.2625
229,7,18,323589.4844,25,2609853.305,292176.4644,2345519.887,105527.0643
230,7,29,325903.8069,26,2609853.305,292176.4644,2343461.743,104429.7542
231,7,19,326983.6436,27,2609853.305,292176.4644,2342097.36,104493.0675
232,7,20,327384.6865,28,2609853.305,292176.4644,2342131.096,103747.2949
233,8,5,440.9606397,1,2610221.152,293093.9902,2610561.839,293373.953
234,8,7,988.5168528,2,2610221.152,293093.9902,2609853.305,292176.4644
235,8,6,1138.436498,3,2610221.152,293093.9902,2609264.738,293711.4921
236,8,4,32946.56888,4,2610221.152,293093.9902,2590076.669,319164.5906
237,8,3,35448.82523,5,2610221.152,293093.9902,2644816.1,300827.6066
238,8,2,36471.57577,6,2610221.152,293093.9902,2645977.308,300282.3944
239,8,0,37636.05489,7,2610221.152,293093.9902,2646678.523,302439.1905
240,8,1,37934.34292,8,2610221.152,293093.9902,2646842.293,302988.7598
241,8,9,246770.2318,9,2610221.152,293093.9902,2388731.659,184291.6388
242,8,22,247092.4819,10,2610221.152,293093.9902,2388710.32,183605.8815
243,8,21,247519.6136,11,2610221.152,293093.9902,2388412.754,183244.1214
244,8,25,248365.7862,12,2610221.152,293093.9902,2387869.067,182436.3484
245,8,24,248484.9029,13,2610221.152,293093.9902,2387820.893,182265.8719
246,8,11,267226.7543,14,2610221.152,293093.9902,2379463.585,158330.9259
247,8,12,267277.7504,15,2610221.152,293093.9902,2379732.846,157770.1696
248,8,10,269494.0018,16,2610221.152,293093.9902,2377532.441,157141.8639
249,8,27,270566.2093,17,2610221.152,293093.9902,2376220.008,157264.914
250,8,26,270597.194,18,2610221.152,293093.9902,2376097.123,157415.0303
251,8,23,271360.0246,19,2610221.152,293093.9902,2375431.213,157042.7226
252,8,13,281373.9598,20,2610221.152,293093.9902,2379004.762,132749.7167
253,8,28,281373.9598,20,2610221.152,293093.9902,2379004.762,132749.7167
254,8,15,282082.9451,21,2610221.152,293093.9902,2378943.616,131596.3461
255,8,17,282390.5852,22,2610221.152,293093.9902,2379351.32,130479.2213
256,8,14,282613.8058,23,2610221.152,293093.9902,2377809.497,132297.8911
257,8,16,283276.6721,24,2610221.152,293093.9902,2378096.736,130724.2625
258,8,18,324419.6538,25,2610221.152,293093.9902,2345519.887,105527.0643
259,8,29,326733.4946,26,2610221.152,293093.9902,2343461.743,104429.7542
260,8,19,327811.9521,27,2610221.152,293093.9902,2342097.36,104493.0675
261,8,20,328214.0299,28,2610221.152,293093.9902,2342131.096,103747.2949
262,9,22,686.0892284,1,2388731.659,184291.6388,2388710.32,183605.8815
263,9,21,1094.985395,2,2388731.659,184291.6388,2388412.754,183244.1214
264,9,25,2046.012809,3,2388731.659,184291.6388,2387869.067,182436.3484
265,9,24,2221.08658,4,2388731.659,184291.6388,2387820.893,182265.8719
266,9,11,27565.4821,5,2388731.659,184291.6388,2379463.585,158330.9259
267,9,12,28006.55219,6,2388731.659,184291.6388,2379732.846,157770.1696
268,9,10,29368.90809,7,2388731.659,184291.6388,2377532.441,157141.8639
269,9,26,29698.20856,8,2388731.659,184291.6388,2376097.123,157415.0303
270,9,27,29782.29796,9,2388731.659,184291.6388,2376220.008,157264.914
271,9,23,30321.69674,10,2388731.659,184291.6388,2375431.213,157042.7226
272,9,13,52451.71357,11,2388731.659,184291.6388,2379004.762,132749.7167
273,9,28,52451.71357,11,2388731.659,184291.6388,2379004.762,132749.7167
274,9,14,53128.55569,12,2388731.659,184291.6388,2377809.497,132297.8911
275,9,15,53596.63848,13,2388731.659,184291.6388,2378943.616,131596.3461
276,9,16,54612.86831,14,2388731.659,184291.6388,2378096.736,130724.2625
277,9,17,54623.86877,15,2388731.659,184291.6388,2379351.32,130479.2213
278,9,18,89839.38708,16,2388731.659,184291.6388,2345519.887,105527.0643
279,9,29,91800.25018,17,2388731.659,184291.6388,2343461.743,104429.7542
280,9,19,92426.02341,18,2388731.659,184291.6388,2342097.36,104493.0675
281,9,20,93053.76849,19,2388731.659,184291.6388,2342131.096,103747.2949
282,9,4,242343.8183,20,2388731.659,184291.6388,2590076.669,319164.5906
283,9,7,246036.4154,21,2388731.659,184291.6388,2609853.305,292176.4644
284,9,6,246185.9928,22,2388731.659,184291.6388,2609264.738,293711.4921
285,9,8,246770.2318,23,2388731.659,184291.6388,2610221.152,293093.9902
286,9,5,247199.4737,24,2388731.659,184291.6388,2610561.839,293373.953
287,9,3,281353.6432,25,2388731.659,184291.6388,2644816.1,300827.6066
288,9,2,282186.4267,26,2388731.659,184291.6388,2645977.308,300282.3944
289,9,0,283717.1628,27,2388731.659,184291.6388,2646678.523,302439.1905
