"ID","Site","Subsite","Date","Transect_Type","Transect_Number","Temp_avg","Temp_max","Temp_min"
"AR-370_PODS_2015-12-08_R_T2","370","PODS","2015-12-08","Radiating",2,16.332,16.332,16.332
"AR-370_PODS_2015-12-08_R_T3","370","PODS","2015-12-08","Radiating",3,16.332,16.332,16.332
"AR-370_PODS_2015-12-08_S","370","PODS","2015-12-08","Structural",0,16.427,16.427,16.427
"AR-372_NR1_2015-09-02_R_T1","372","NR1","2015-09-02","Radiating",1,27.665,27.665,27.665
"AR-372_NR1_2015-09-02_R_T2","372","NR1","2015-09-02","Radiating",2,27.665,27.665,27.665
"AR-372_NR1_2015-09-02_R_T3","372","NR1","2015-09-02","Radiating",3,27.665,27.665,27.665
"AR-372_NR1_2015-09-02_S","372","NR1","2015-09-02","Structural",0,27.665,27.665,27.665
"AR-372_NR1_2015-12-03_R_T1","372","NR1","2015-12-03","Radiating",1,18.331,18.331,18.331
"AR-372_NR1_2015-12-03_R_T2","372","NR1","2015-12-03","Radiating",2,18.331,18.331,18.331
"AR-372_NR1_2015-12-03_R_T3","372","NR1","2015-12-03","Radiating",3,18.331,18.331,18.331
"AR-372_NR1_2015-12-03_S","372","NR1","2015-12-03","Structural",0,18.331,18.331,18.331
"AR-372_NR1_2016-03-17_S","372","NR1","2016-03-17","Structural",0,14.3599090909091,14.421,14.325
"AR-372_NR2_2015-09-02_R_T1","372","NR2","2015-09-02","Radiating",1,27.665,27.665,27.665
"AR-372_NR2_2015-12-09_R_T1","372","NR2","2015-12-09","Radiating",1,17.09324,17.094,16.999
"AR-372_NR2_2015-12-09_R_T2","372","NR2","2015-12-09","Radiating",2,17.094,17.094,17.094
"AR-372_NR2_2015-12-09_R_T3","372","NR2","2015-12-09","Radiating",3,17.0646363636364,17.094,16.999
"AR-372_NR2_2015-12-09_S","372","NR2","2015-12-09","Structural",0,17.0611428571429,17.094,16.999
"AR-372_PODS_2015-09-02_R_T1","372","PODS","2015-09-02","Radiating",1,27.665,27.665,27.665
"AR-372_PODS_2015-09-02_R_T2","372","PODS","2015-09-02","Radiating",2,27.665,27.665,27.665
"AR-372_PODS_2015-09-02_R_T3","372","PODS","2015-09-02","Radiating",3,27.665,27.665,27.665
"AR-372_PODS_2015-09-02_S","372","PODS","2015-09-02","Structural",0,27.665,27.665,27.665
"AR-372_PODS_2015-12-09_R_T1","372","PODS","2015-12-09","Radiating",1,16.999,16.999,16.999
"AR-372_PODS_2015-12-09_R_T2","372","PODS","2015-12-09","Radiating",2,16.999,16.999,16.999
"AR-372_PODS_2015-12-09_R_T3","372","PODS","2015-12-09","Radiating",3,16.999,16.999,16.999
"AR-372_PODS_2015-12-09_S","372","PODS","2015-12-09","Structural",0,16.999,16.999,16.999
"AR-372_RB1_2015-09-02_R_T1","372","RB1","2015-09-02","Radiating",1,27.665,27.665,27.665
"AR-372_RB1_2015-09-02_R_T2","372","RB1","2015-09-02","Radiating",2,27.665,27.665,27.665
"AR-372_RB1_2015-09-02_R_T3","372","RB1","2015-09-02","Radiating",3,27.665,27.665,27.665
"AR-372_RB1_2015-09-02_S","372","RB1","2015-09-02","Structural",0,27.665,27.665,27.665
"AR-372_RB1_2015-12-09_R_T1","372","RB1","2015-12-09","Radiating",1,17.0051510791367,17.094,16.999
"AR-372_RB1_2015-12-09_R_T2","372","RB1","2015-12-09","Radiating",2,16.999,16.999,16.999
"AR-372_RB1_2015-12-09_R_T3","372","RB1","2015-12-09","Radiating",3,16.999,16.999,16.999
"AR-372_RB1_2015-12-09_S","372","RB1","2015-12-09","Structural",0,17.094,17.094,17.094
"AR-372_TRAINCARS_2015-09-03_R_T1","372","TRAINCARS","2015-09-03","Radiating",1,27.665,27.665,27.665
